track_id,true_subgenre,subgenre_centroid_assignment,kmeans_cluster_assignment
Funky House/My_minds_tellin_me_no_Tribute_to_Waze_Odyssey_ft_R_Kelly,Funky House,Chill House,2
Funky House/Tightshirt_-_Rampage_Funk,Funky House,Funky House,5
Funky House/Weiss_UK_-_Youre_Sunshine_Extended_Mix,Funky House,Funky House,5
Party House/Anto_Lyle_M_-_Just_Fine,Party House,Funky House,5
Party House/Blinkie_-_Dont_Give_Up_On_Love,Party House,Party House,3
Party House/Calippo_-_Down_On_Me,Party House,Emotional Techno,4
Party House/DJ_Carlos_Rivera_-_CHILDREN_Official_Video,Party House,Chill House,3
Party House/DOD_-_Sleepless,Party House,Chill House,2
Party House/Dr_Kucho_Gregor_Salto_-_Cant_Stop_Playing_Oliver_Heldens_Gregor_Salto_Remix_OUT_NOW,Party House,Chill House,2
Party House/Foster_the_People_-_Pumped_Up_Kicks_Aiju_Remix,Party House,Chill House,2
Party House/Get_Get_Down,Party House,Party Techno,1
Party House/I_Follow_Rivers_-_Lykke_Li_La_Vie_dAdeleLa_Vida_de_Adele,Party House,Chill House,3
Party House/Jyye_-_Tender_Love,Party House,Chill House,3
Party House/Lucky_Luke_NOTSOBAD_-_GIVE_ME_A_CHANCE_Official_Video,Party House,Party House,3
Party House/Michael_Calfan_-_Treasured_Soul_Original_Mix,Party House,Chill House,2
Party House/MK_Becky_Hill_-_Piece_Of_Me,Party House,Chill House,2
Party House/Mr_Belt_Wezol_RSCL_-_Opened_Up_My_Soul_Extended_Mix,Party House,Chill House,2
Party House/NOW_ITS_GONE,Party House,Chill House,3
Party House/Of_Monsters_and_Men_-_Little_Talks_Carter_Walsh_Remix,Party House,Party Techno,1
Party House/RVZZER_JANFRY_-_Big_Hoops_Official_Video,Party House,Party Techno,1
Party House/Sam_Feldt_-_Post_Malone_feat_RANI_Joe_Stone_Remix_Official_Music_Video,Party House,Chill House,3
Party House/SEVEN_NATION_ARMY_Evokings_Remix,Party House,Chill House,3
Party House/THE_RIDDLE_-_Xd_Official_Video,Party House,Emotional Techno,4
Party House/Truth_x_Lies_-_City_Lights,Party House,Chill House,3
Party House/twocolors_-_Lovefool_ft_Pia_Mia,Party House,Party House,3
Party Techno/All_the_People,Party Techno,Party Techno,1
Party Techno/All_The_Things_She_Said,Party Techno,Dark Techno,0
Party Techno/Chaos_Reign,Party Techno,Dark Techno,0
Party Techno/Die_Tonight,Party Techno,Party Techno,1
Party Techno/Dimitri_Vegas_Like_Mike_Tiesto_Dido_WW_Thank_You_Not_So_Bad_Extended_Lyric_Video,Party Techno,Party Techno,1
Party Techno/DJ_Jamo_Jack_Knives_-_Seastar_II_Simox_Remix,Party Techno,Party Techno,1
Party Techno/Dutch_Disorder_-_Heroine_Pat_B_Remix,Party Techno,Party Techno,1
Party Techno/Earthquake,Party Techno,Party Techno,1
Party Techno/Fall_Into_-_Techno,Party Techno,Party Techno,1
Party Techno/Felix_Stretch_-_Dont_You_Want_My_Loving_Official_Visualiser,Party Techno,Party Techno,1
Party Techno/Halb_Vier,Party Techno,Dark Techno,0
Party Techno/Indila_x_BENNETT_-_Derniere_Danse_Techno_Mix_Official_Lyric_Video,Party Techno,Party Techno,1
Party Techno/Intruder,Party Techno,Party Techno,1
Party Techno/in,Party Techno,Party Techno,1
Party Techno/Maddix_Basswell_feat_Feles_-_My_Gasoline_Hard_Edit,Party Techno,Party Techno,1
Party Techno/Malke_-_Wait_N_Bleed_Original_Mix,Party Techno,Party Techno,1
Party Techno/paradise_tekkno,Party Techno,Emotional Techno,4
Party Techno/Party_Started,Party Techno,Party Techno,1
Party Techno/Pestilence,Party Techno,Party Techno,1
Party Techno/Sons_Of_Charlie_-_The_Enemy_Between_My_Ears_Tiktok,Party Techno,Party Techno,1
Party Techno/Summertime_Sadness,Party Techno,Party Techno,1
Party Techno/Time_to_fall_Original_Mix,Party Techno,Party Techno,1
